frame,wjh_overload_count,yolov8n_overload_count,matched_target_count,final_overload,final_target_ids,helmet_statuses,roi
0,0,0,0,0,,,244 303 834 602
1,0,0,0,0,,,244 303 834 602
2,0,0,0,0,,,244 303 834 602
3,0,0,0,0,,,244 303 834 602
4,0,0,0,0,,,244 303 834 602
5,0,0,0,0,,,244 303 834 602
6,0,0,0,0,,,244 303 834 602
7,0,0,0,0,,,244 303 834 602
8,0,0,0,0,,,244 303 834 602
9,0,0,0,0,,,244 303 834 602
10,0,0,0,0,,,244 303 834 602
11,0,0,0,0,,,244 303 834 602
12,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
13,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
14,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
15,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
16,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
17,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
18,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
19,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
20,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
21,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
22,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
23,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
24,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
25,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
26,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
27,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
28,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
29,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
30,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
31,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
32,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
33,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
34,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
35,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
36,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
37,0,0,1,0,,W001|Y001:NO_HELMET,244 303 834 602
38,0,0,0,0,,,244 303 834 602
39,0,0,0,0,,,244 303 834 602
40,0,0,0,0,,,244 303 834 602
41,0,0,0,0,,,244 303 834 602
42,0,0,0,0,,,244 303 834 602
43,0,0,0,0,,,244 303 834 602
44,0,0,0,0,,,244 303 834 602
45,0,0,0,0,,,244 303 834 602
46,0,0,0,0,,,244 303 834 602
47,0,0,0,0,,,244 303 834 602
48,0,0,0,0,,,244 303 834 602
49,0,0,0,0,,,244 303 834 602
50,0,0,0,0,,,244 303 834 602
51,0,0,0,0,,,244 303 834 602
52,0,0,0,0,,,244 303 834 602
53,0,0,0,0,,,244 303 834 602
54,0,0,0,0,,,244 303 834 602
55,0,0,0,0,,,244 303 834 602
56,0,0,0,0,,,244 303 834 602
57,0,0,0,0,,,244 303 834 602
58,0,0,0,0,,,244 303 834 602
59,0,0,0,0,,,244 303 834 602
60,0,0,0,0,,,244 303 834 602
61,0,0,0,0,,,244 303 834 602
62,0,0,0,0,,,244 303 834 602
63,0,0,0,0,,,244 303 834 602
